date,wind direction,wind speed,gust speed,wave height,dominant wave period,water temperature
2025-09-01T20:00:00Z,150,5.0,6.0,0.3,3,19.3
2025-09-01T19:00:00Z,140,5.0,6.0,0.3,3,19.1
2025-09-01T18:00:00Z,130,4.0,5.0,0.3,3,18.9
2025-09-01T17:00:00Z,130,3.0,4.0,0.3,3,18.5
2025-09-01T16:00:00Z,100,4.0,5.0,0.2,3,18.4
2025-09-01T15:00:00Z,100,3.0,4.0,0.3,3,18.6
2025-09-01T14:00:00Z,110,5.0,6.0,0.3,3,18.8
2025-09-01T13:00:00Z,120,4.0,5.0,0.3,3,18.9
2025-09-01T12:00:00Z,70,7.0,8.0,0.4,3,19.1
2025-09-01T11:00:00Z,90,6.0,8.0,0.3,2,18.7
2025-09-01T10:00:00Z,80,7.0,8.0,0.4,2,19.0
2025-09-01T09:00:00Z,70,6.0,7.0,0.3,2,19.4
2025-09-01T08:00:00Z,70,6.0,7.0,0.3,2,19.7
2025-09-01T07:00:00Z,70,6.0,7.0,0.3,2,19.4
2025-09-01T06:00:00Z,80,5.0,6.0,0.3,2,19.4
2025-09-01T05:00:00Z,70,6.0,7.0,0.2,3,19.6
2025-09-01T04:00:00Z,70,4.0,6.0,0.2,3,20.0
2025-09-01T03:00:00Z,100,2.0,3.0,0.3,4,19.7
2025-09-01T02:00:00Z,170,2.0,2.0,0.3,3,19.8
2025-09-01T01:00:00Z,210,4.0,5.0,0.3,3,19.8
2025-09-01T00:00:00Z,220,3.0,3.0,0.3,4,19.8
2025-08-31T23:00:00Z,330,2.0,2.0,0.4,3,19.2
2025-08-31T22:00:00Z,270,5.0,6.0,0.4,3,19.1
2025-08-31T21:00:00Z,270,6.0,7.0,0.5,3,19.1
2025-08-31T20:00:00Z,280,7.0,8.0,0.6,3,19.1
